,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
0,Mercedes-Benz,Clase E,2016,Blanco,Gasolina,4,Automática,2.0,NA,52000 km,115.000.000,https://carro.mercadolibre.com.co/MCO-918929837-mercedez-benz-e-200-2016-_JM#position=1&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
1,Jeep,Wrangler,2014,Rojo,Gasolina,3,Mecánica,3.6,Camioneta,63900 km,134.200.000,https://carro.mercadolibre.com.co/MCO-919962565-jeep-wrangler-sport-2014-_JM#position=2&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Las Lomitas - Sabaneta
2,Ford,Explorer,2014,Negro,Gasolina,5,Automática,3.5,Camioneta,85000 km,82.000.000,https://carro.mercadolibre.com.co/MCO-918917366-ford-explorer-2014-_JM#position=3&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Zuñiga - Envigado
3,Nissan,Frontier,2022,Gris,Diésel,4,Automática,2.5,Camioneta,5206 km,199.900.000,https://carro.mercadolibre.com.co/MCO-921384245-nissan-frontier-2022-_JM#position=4&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Belén Fátima - Medellín
4,Mitsubishi,Montero,2004,Plateado,Gasolina,4,Mecánica,3.0,Camioneta,144578 km,55.000.000,https://carro.mercadolibre.com.co/MCO-919968443-mitsubishi-montero-v-43-wagon-2004-_JM#position=5&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Belén Loma de los Bernal - Medellín
5,Toyota,Sequoia,2019,Gris,Gasolina,5,Automática,5.7,Station Wagon,39513 km,415.000.000,https://carro.mercadolibre.com.co/MCO-909263802-toyota-sequoia-limited-modelo-2019-_JM#position=6&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
6,Mercedes-Benz,Clase GLE,2021,Plateado,Diésel,5,Automática,3.0,Camioneta,11500 km,306.000.000,https://carro.mercadolibre.com.co/MCO-938917022-mercedez-benz-gle-450-4matic-2021-_JM#position=7&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
7,Kia,CERATO PRO,2018,Plateado,Gasolina,4,Mecánica,1.6,Sedán,26400 km,57.900.000,https://carro.mercadolibre.com.co/MCO-938928174-kia-cerato-pro-2g-zenith-2018-_JM#position=8&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Los Colores - Medellín
8,Toyota,Fortuner,2021,Blanco,Gasolina,5,Automática,2.7,Camioneta,8000 km,210.000.000,https://carro.mercadolibre.com.co/MCO-933362329-toyota-fortuner-27-full-2021-_JM#position=9&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Escobero - Envigado
9,Mazda,CX-5,2018,Blanco,Gasolina,5,Automática,2.5,Station Wagon,58000 km,118.900.000,https://carro.mercadolibre.com.co/MCO-933243754-mazda-cx5-grand-touring-lx-4x4-2018-_JM#position=10&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
10,Audi,Q7,2009,Gris,Gasolina,5,Automática,3.6,Camioneta,150000 km,65.900.000,https://carro.mercadolibre.com.co/MCO-932608820-audi-q7-36-modelo-2009-_JM#position=11&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
11,Toyota,Prado,2020,Blanco,Diésel,5,Automática,3.0,Camioneta,30000 km,296.000.000,https://carro.mercadolibre.com.co/MCO-923955031-toyota-prado-txl-2020-_JM#position=12&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
12,Volkswagen,Jetta,2020,Gris,Gasolina,4,Automática,1.4,Station Wagon,23100 km,83.900.000,https://carro.mercadolibre.com.co/MCO-920661975-volkswagen-jetta-comfortline-2020-_JM#position=13&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Bosques de Zuñiga - Envigado
13,Ford,Ecosport 2,2019,Plateado,Gasolina,5,Mecánica,1.5,Camioneta,10660 km,72.500.000,https://carro.mercadolibre.com.co/MCO-938904264-ford-ecosport-se-2019-_JM#position=14&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Itaguí
14,Ford,Fiesta,2015,Blanco,Gasolina,5,Mecánica,1.6,Hatchback,69000 km,42.700.000,https://carro.mercadolibre.com.co/MCO-938053389-ford-fiesta-16-hatchback-_JM#position=15&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Esmeraldal - Envigado
15,Citroën,C3,2020,Blanco,Gasolina,5,Automática,1.6,Hatchback,10350 km,70.000.000,https://carro.mercadolibre.com.co/MCO-937024456-citroen-c3-shine-16-tp-_JM#position=16&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
16,BMW,X4,2017,Plateado,Gasolina,5,Automática,2.0,Camioneta,41000 km,142.000.000,https://carro.mercadolibre.com.co/MCO-936949547-bmw-x4-xdirve-20-_JM#position=17&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
17,Ford,Explorer,2016,Blanco,Gasolina,5,Automática,3.5,Camioneta,74300 km,111.500.000,https://carro.mercadolibre.com.co/MCO-936102248-ford-explorer-limited-2016-_JM#position=18&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
18,Toyota,Prado,2010,Gris,Gasolina,3,Automática,2.7,Camioneta,139450 km,127.000.000,https://carro.mercadolibre.com.co/MCO-935630602-toyota-prado-sumo-txl-2010-_JM#position=19&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
19,Volkswagen,Jetta,2020,Blanco,Gasolina,5,Automática,1.4,Station Wagon,37500 km,81.800.000,https://carro.mercadolibre.com.co/MCO-934802248-volkswagen-jetta-14-tsi-comfortline-automatico-_JM#position=20&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
20,Chevrolet,Trailblazer,2016,Blanco,Diésel,5,Automática,2.8,Camioneta,99950 km,110.000.000,https://carro.mercadolibre.com.co/MCO-934790988-chevrolet-trailblazer-2016-_JM#position=21&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Centro - Medellín
21,Kia,Rio,2013,Blanco,Gasolina,5,Mecánica,1.4,Hatchback,108150 km,44.500.000,https://carro.mercadolibre.com.co/MCO-934428448-kia-rio-spice-modelo-2013-_JM#position=22&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Itaguí
22,Volvo,XC90,2017,Blanco,Gasolina,5,Automática,2.0,Camioneta,38500 km,179.000.000,https://carro.mercadolibre.com.co/MCO-934414657-volvo-xc90-2017-20-t6-awd-inscription-_JM#position=23&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
23,BMW,Serie 1,2013,Gris,Gasolina,5,Automática,1.6,Hatchback,30000 km,67.000.000,https://carro.mercadolibre.com.co/MCO-933632574-bmw-116i-f21-2013-_JM#position=24&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
24,Chery,YOYA,2013,Blanco,Gasolina,5,Mecánica,1.3,Camioneta,58270 km,27.500.000,https://carro.mercadolibre.com.co/MCO-933612266-chery-yoya-13-van-pass-_JM#position=25&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Bello
25,Toyota,4Runner,2017,Gris,Gasolina,5,Automática,4.0,Camioneta,69500 km,290.000.000,https://carro.mercadolibre.com.co/MCO-933561072-toyota-4runner-limited-2017-blindado-_JM#position=26&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Primavera - Envigado
26,BMW,X1,2021,Blanco,Gasolina,5,Automática,2.0,Camioneta,28160 km,145.000.000,https://carro.mercadolibre.com.co/MCO-932654154-bmw-x1-20i-modelo-2021-_JM#position=27&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Rionegro
27,Toyota,Prado,2015,Plateado,Diésel,5,Automática,3.0,Camioneta,141230 km,189.000.000,https://carro.mercadolibre.com.co/MCO-932028613-toyota-prado-tx-l-blindada-_JM#position=28&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
28,Ford,Escape,2018,Blanco,Gasolina,5,Automática,2.0,Camioneta,43630 km,80.000.000,https://carro.mercadolibre.com.co/MCO-931437598-ford-escape-se-modelo-2018-_JM#position=29&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Los Colores - Medellín
29,Ford,Escape,2014,Negro,Gasolina,5,Automática,2.0,Camioneta,115570 km,65.000.000,https://carro.mercadolibre.com.co/MCO-931405406-ford-escape-modelo-2014-_JM#position=30&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Los Colores - Medellín
30,Toyota,Prado,2014,Blanco,Diésel,5,Mecánica,3.0,Camioneta,82000 km,209.000.000,https://carro.mercadolibre.com.co/MCO-931411706-toyota-prado-30-vx-l-_JM#position=31&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Benedictinos - Envigado
31,Renault,Captur,2017,Gris,Gasolina,5,Mecánica,2.0,Camioneta,43000 km,65.000.000,https://carro.mercadolibre.com.co/MCO-930000591-renault-captur-zen-20-modelo-2017-_JM#position=32&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Centro - Medellín
32,Mazda,2,2017,Blanco,Gasolina,5,Mecánica,1.5,Hatchback,58500 km,60.000.000,https://carro.mercadolibre.com.co/MCO-929129885-mazda-2-grand-touring-2017-_JM#position=33&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Los Colores - Medellín
33,Honda,CR-V,2017,Gris,Gasolina,5,Automática,2.4,Camioneta,42250 km,139.900.000,https://carro.mercadolibre.com.co/MCO-927379221-honda-crv-city-plus-2017-_JM#position=34&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
34,BMW,X5,2017,Gris,Gasolina,5,Automática,3.0,Camioneta,58500 km,150.000.000,https://carro.mercadolibre.com.co/MCO-927257209-bmw-x5-premium-modelo-2017-_JM#position=35&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
35,Renault,Sandero,2009,Gris,Gasolina,5,Mecánica,1.6,Hatchback,134050 km,25.900.000,https://carro.mercadolibre.com.co/MCO-926520596-renault-sandero-2009-expression-_JM#position=36&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Las Palmas - Medellín
36,Mercedes-Benz,Clase GLS,2018,Gris,Gasolina,5,Automática,4.7,Camioneta,43000 km,240.000.000,https://carro.mercadolibre.com.co/MCO-926507295-mercedes-benz-gls-500-4matic-plus-2018-_JM#position=37&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Itaguí
37,Chevrolet,Beat,2019,Marrón,Gasolina,5,Mecánica,1.2,Sedán,26200 km,43.500.000,https://carro.mercadolibre.com.co/MCO-926131689-chevrolet-beat-ltz-modelo-2019-_JM#position=38&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
38,Toyota,Prado,2016,Blanco,Diésel,5,Automática,3.0,Camioneta,67100 km,220.000.000,https://carro.mercadolibre.com.co/MCO-925926900-toyota-prado-txl-2016-_JM#position=39&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Pilarica - Medellín
39,Ford,F-150,2020,Blanco,Gasolina,4,Automática,3.5,Pick-Up,15950 km,220.000.000,https://carro.mercadolibre.com.co/MCO-925511808-ford-f150-lariat-sport-_JM#position=40&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
40,Toyota,Hilux,2012,Blanco,Diésel,4,Mecánica,2.5,Pick-Up,192300 km,95.000.000,https://carro.mercadolibre.com.co/MCO-923710807-toyota-hilux-4x4-25-modelo-2012-_JM#position=41&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
41,Volkswagen,Jetta,2013,Gris,Gasolina,4,Automática,2.0,Sedán,59010 km,40.900.000,https://carro.mercadolibre.com.co/MCO-923399934-volkswagen-jetta-trendline-_JM#position=42&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Patio Bonito - Medellín
42,Jeep,Compass,2019,Gris,Gasolina,5,Automática,2.4,Camioneta,27280 km,96.000.000,https://carro.mercadolibre.com.co/MCO-922566822-jeep-compass-modelo-2019-_JM#position=43&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Belén La Mota - Medellín
43,Kia,Rio,2016,Azul,Gasolina,5,Mecánica,1.2,Hatchback,60350 km,45.500.000,https://carro.mercadolibre.com.co/MCO-921219769-kia-rio-ub-ex-modelo-2016-_JM#position=44&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Esmeraldal - Envigado
44,Toyota,4Runner,2020,Negro,Gasolina,5,Automática,4.0,Camioneta,21350 km,287.000.000,https://carro.mercadolibre.com.co/MCO-920333213-toyota-4runner-limited-blindada-_JM#position=45&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Poblado - Medellín
45,Toyota,Hilux,2018,Plateado,Diésel,4,Automática,2.8,Pick-Up,51000 km,179.000.000,https://carro.mercadolibre.com.co/MCO-916297808-toyota-hilux-modelo-2018-_JM#position=46&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,Belén Miravalle - Medellín
46,Nissan,March,2022,Gris,Gasolina,5,Mecánica,1.6,Hatchback,4350 km,62.500.000,https://carro.mercadolibre.com.co/MCO-914915008-nissan-march-advance-modelo-2022-_JM#position=47&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,San Germán - Medellín
47,Renault,Sandero,2018,Rojo,Gasolina,5,Mecánica,2.0,Hatchback,46500 km,46.500.000,https://carro.mercadolibre.com.co/MCO-914923069-renault-sandero-rs-modelo-2018-_JM#position=48&search_layout=grid&type=item&tracking_id=1efd3570-1602-4932-b90f-00fa78aa0a02,El Dorado - Envigado
48,Mitsubishi,Montero,1996,Plateado,Gasolina,2,Mecánica,2.6,Camioneta,280464 km,53.000.000,https://carro.mercadolibre.com.co/MCO-914468989-mitsubishi-montero-modelo-1996-_JM#position=1&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Itaguí
49,Subaru,XV,2021,Gris,Híbrido,5,Automática,2.0,Camioneta,5450 km,148.700.000,https://carro.mercadolibre.com.co/MCO-913794587-subaru-xv-hybrid-modelo-2021-_JM#position=2&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
50,BMW,Serie 3,2020,Blanco,Gasolina,4,Automática,2.0,NA,21163 km,155.000.000,https://carro.mercadolibre.com.co/MCO-913711887-bmw-330i-sportline-modelo-2020-_JM#position=3&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
51,Kia,Sportage,2015,Blanco,Gasolina,5,Mecánica,2.0,Camioneta,85976 km,56.400.000,https://carro.mercadolibre.com.co/MCO-913183135-kia-sportage-fq-modelo-2015-_JM#position=4&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Laureles - Medellín
52,Mitsubishi,Montero,2016,Plateado,Gasolina,3,Automática,3.5,Camioneta,59400 km,109.500.000,https://carro.mercadolibre.com.co/MCO-911945331-mitsubishi-montero-hard-top-modelo-2016-_JM#position=5&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
53,Chevrolet,Traverse,2019,Plateado,Gasolina,5,Automática,3.6,Camioneta,43930 km,160.000.000,https://carro.mercadolibre.com.co/MCO-910706047-chevrolet-traverse-high-country-2019-_JM#position=6&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Los Colores - Medellín
54,Ford,F-150,2019,Blanco,Gasolina,4,Automática,3.5,Pick-Up,60700 km,325.000.000,https://carro.mercadolibre.com.co/MCO-909713446-ford-raptor-modelo-2019-_JM#position=7&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
55,Ford,Edge,2016,Negro,Gasolina,5,Automática,3.5,Camioneta,69000 km,93.000.000,https://carro.mercadolibre.com.co/MCO-908314463-ford-edge-2016-_JM#position=8&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
