,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
0,Subaru,Forester,2010,Blanco,Gasolina,5,Mecánica,2.0,NA,176798 km,49.500.000,https://carro.mercadolibre.com.co/MCO-918909712-subaru-forester-2010-_JM,Santa Helena - Manizales - Caldas
1,Volkswagen,Voyage,2017,Plateado,Gasolina,5,Mecánica,1.6,Sedán,151600 km,36.000.000,https://carro.mercadolibre.com.co/MCO-916812522-volkswagen-voyage-16confortline-_JM,Centro - Manizales - Caldas
2,Toyota,Hilux,2015,Plateado,Diésel,4,Automática,3.0,Pick-Up,43000 km,175.000.000,https://carro.mercadolibre.com.co/MCO-904934772-toyota-hilux-2015-30-srv-169-hp-_JM,Villamaria - Caldas
3,Fiat,500,2011,Verde,Gasolina,2,Mecánica,1.4,Hatchback,74000 km,38.000.000,https://carro.mercadolibre.com.co/MCO-938271057-fiat-500-14-sport-bz-_JM,Laureles - Manizales - Caldas
4,Renault,Stepway,2022,Gris,Gasolina,5,Mecánica,1.6,Hatchback,0 km,67.300.000,https://carro.mercadolibre.com.co/MCO-858916444-stepway-zen-mt-ph2-_JM,8:00am - 6:00PM
5,Mazda,3,2020,Rojo,Gasolina,4,Automática,2.5,Sedán,25400 km,103.500.000,https://carro.mercadolibre.com.co/MCO-937160731-mazda-3-grand-touring-25-lx-mod-2020-_JM,lunes a domingo 7am pm
6,Toyota,RAV4,2018,Gris,Gasolina,5,Automática,2.0,Camioneta,46700 km,111.000.000,https://carro.mercadolibre.com.co/MCO-919971014-toyota-rav4-2018-20-street-_JM,Manizales - Caldas
7,Toyota,RAV4,2018,Plateado,Gasolina,5,Automática,2.0,Camioneta,71000 km,113.500.000,https://carro.mercadolibre.com.co/MCO-934902090-toyota-rav4-20-street-at-4x2-mod-2018-_JM,lunes a domingo 7am 11pm
8,Toyota,Prado,2011,Blanco,Diésel,5,Automática,3.0,Camioneta,163529 km,142.500.000,https://carro.mercadolibre.com.co/MCO-934907824-toyota-prado-tx-30-at-mod-2011-_JM,lunes a domingo 7am 11pm
9,Mazda,CX-5,2017,Plateado,Gasolina,5,Automática,2.5,Camioneta,98188 km,107.500.000,https://carro.mercadolibre.com.co/MCO-923400038-mazda-cx-5-25-lx-grand-touring-lx-4x4-mod-2017-_JM,lunes a domingo 7am 11pm
10,Mercedes-Benz,Clase E,2022,Blanco,Híbrido,4,Automática,"1.991cc/308+14hp/400+150Nm/0-100:5,8seg",NA,0 km,242.900.000,https://carro.mercadolibre.com.co/MCO-934426479-mercedes-benz-e350-amg-line-_JM,Lunes a Viernes de 8:30am a 7:00 pm sabados de 9:00am a 1:00pm
11,Jeep,Compass,2023,Azul,Gasolina,5,Automática,1.3,SUV,2400 km,138.500.000,https://carro.mercadolibre.com.co/MCO-930317124-jeep-compass-longitude-13-turbo-mod-2023-_JM,lunes a domingo 7am 11pm
12,Suzuki,Swift,2020,Plateado,Gasolina,4,Mecánica,1.2,Sedán,23545 km,51.500.000,https://carro.mercadolibre.com.co/MCO-909446065-suzuki-swift-dzire-12-mt-mod-2020-_JM,lunes a domingo 7am 11pm
13,Toyota,Prado,2011,Negro,Gasolina,3,Automática,2.7,Camioneta,102700 km,120.000.000,https://carro.mercadolibre.com.co/MCO-920701227-toyota-prado-sumo-txl-_JM,Alta Suiza - Manizales - Caldas
14,Mercedes-Benz,Clase GLE,2022,Blanco,Híbrido,5,Automática,3L/428hp+22/520Nm+250/9G,Coupé,0 km,456.900.000,https://carro.mercadolibre.com.co/MCO-932517434-mercedes-amg-gle53-4matic-eq-boost-_JM,lunes a sábado 9am a 6pm
