,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
0,Suzuki,LJ,1981,Marrón,Gasolina,2,Mecánica,0.8,Pick-Up,150000 km,24.500.000,https://carro.mercadolibre.com.co/MCO-917763842-suzuki-lj-80-_JM,Armenia - Quindio
1,Volkswagen,Fox,2019,Plateado,Gasolina,5,Mecánica,1.6,Hatchback,83500 km,46.000.000,https://carro.mercadolibre.com.co/MCO-936051754-volkswagen-fox-xtreme-2019-mt-_JM,Armenia - Quindio
2,Nissan,Navara,2009,Negro,Diésel,4,Automática,2.5,Pick-Up,240222 km,62.000.000,https://carro.mercadolibre.com.co/MCO-930180766-nissan-navara-25-high-lujo-_JM,Armenia - Quindio
3,Nissan,Frontier,2018,Blanco,Diésel,2,Automática,2.5,Pick-Up,84264 km,125.000.000,https://carro.mercadolibre.com.co/MCO-936066213-nissan-frontier-np300-25-diesel-4x4-_JM,Armenia - Quindio
4,Nissan,Patrol,2007,Gris,Diésel,5,Automática,3.0,Camioneta,115000 km,79.500.000,https://carro.mercadolibre.com.co/MCO-934559934-nissan-patrol-_JM,Armenia - Quindio
5,Mini,Cooper,2018,Plateado,Gasolina,5,Automática,2.0,Coupé,37330 km,105.000.000,https://carro.mercadolibre.com.co/MCO-927084332-mini-cooper-20-f56-s-coupe-pepper-_JM,Armenia - Quindio
6,Daihatsu,F20,1982,Marrón,Gasolina,2,Mecánica,1.600,NA,170000 km,30.000.000,https://carro.mercadolibre.com.co/MCO-916468353-daihatsu-f20-campero-_JM,Armenia - Quindio
7,Renault,Duster,2015,Rojo,Gasolina,5,Automática,2.0,Camioneta,140000 km,45.000.000,https://carro.mercadolibre.com.co/MCO-931440220-renault-duster-20-dynamique-_JM,Armenia - Quindio
8,Toyota,Prado,2007,Blanco,Gasolina,5,Mecánica,9F H11W9015026,NA,211400 km,67.000.000,https://carro.mercadolibre.com.co/MCO-936756258-toyota-prado-sumo-_JM,Armenia - Quindio
9,Renault,Logan,2023,Dorado,Gasolina,5,Mecánica,1.598,NA,700 km,55.000.000,https://carro.mercadolibre.com.co/MCO-937018904-renault-logan-2023-_JM,Armenia - Quindio
10,BMW,X3,2016,Blanco,Diésel,5,Automática,2.0,Camioneta,57000 km,105.000.000,https://carro.mercadolibre.com.co/MCO-934397038-bmw-x3-xdrive20d-_JM,Armenia - Quindio
11,Toyota,Fortuner,2021,Gris,Gasolina,5,Automática,2.7,Camioneta,9250 km,215.000.000,https://carro.mercadolibre.com.co/MCO-932876030-toyota-fortuner-27-srv-_JM,Armenia - Quindio
12,Chevrolet,Swift,1992,Blanco,Gasolina,5,Mecánica,1.3,Hatchback,154000 km,19.500.000,https://carro.mercadolibre.com.co/MCO-929523287-chevrolet-swift-gti-1992-mk2-_JM,Armenia - Quindio
13,Chevrolet,Aveo,2012,Dorado,Gasolina,4,Mecánica,1.6,Sedán,125000 km,26.000.000,https://carro.mercadolibre.com.co/MCO-927077229-chevrolet-aveo-16-sd-_JM,Armenia - Quindio
14,Mercedes-Benz,Clase A,2016,Negro,Gasolina,4,Automática,2.000,Hatchback,32630 km,125.000.000,https://carro.mercadolibre.com.co/MCO-909965360-mercedes-benz-a-45-amg-4matic-_JM,Armenia - Quindio
15,Suzuki,turbo glx all grip,2023,Gris,Gasolina,5,Automática,1400,Camioneta,0 km,117.490.000,https://carro.mercadolibre.com.co/MCO-887232162-totalmente-nueva-suzuki-scross-14-turbo-atmt4x44x2-_JM,8 am A 6 pm
16,Mini,Cooper,2013,Azul,Gasolina,2,Mecánica,1.6,Coupé,80000 km,70.000.000,https://carro.mercadolibre.com.co/MCO-938927137-mini-cooper-16-r56-s-coupe-175-hp-_JM,Armenia - Quindio
17,Chevrolet,Equinox,2018,Gris,Gasolina,5,Automática,1500,NA,24891 km,85.000.000,https://carro.mercadolibre.com.co/MCO-937018747-chevrolet-equinox-15-turbo-_JM,Armenia - Quindio
18,Ford,Escape,2022,Gris,Gasolina,5,Automática,2.5,SUV,0 km,197.990.000,https://carro.mercadolibre.com.co/MCO-934383568-ford-escape-titanium-4x4-2022-_JM,Armenia - Quindio
19,Ford,Mustang GT,2019,Blanco,Gasolina,2,Automática,V8,Convertible,25846 km,180.000.000,https://carro.mercadolibre.com.co/MCO-936149770-ford-mustang-modelo-2019-_JM,lunes a viernes de 8 am a 6 pm
20,Toyota,Hilux,2020,Diésel,2,Automática,2.4,Pick-Up,NA,27000 km,172.000.000,https://carro.mercadolibre.com.co/MCO-928611440-toyota-hilux-2020-24l-_JM,Armenia - Quindio
21,Renault,Captur,2021,Plateado,Gasolina,5,Automática,2.0,Camioneta,10000 km,89.000.000,https://carro.mercadolibre.com.co/MCO-932796762-renault-captur-2022-_JM,lunes a viernes de 8:30 a 20:00 h
22,Toyota,Hilux,2020,Diésel,2,Automática,2.8,Pick-Up,NA,30000 km,218.000.000,https://carro.mercadolibre.com.co/MCO-923651109-toyota-hilux-2020-28l-_JM,Armenia - Quindio
23,Toyota,Tercel,1998,Rojo,Gasolina,4,Mecánica,1.6,Sedán,235000 km,15.700.000,https://carro.mercadolibre.com.co/MCO-906756376-toyota-tercel-_JM,Armenia - Quindio
24,Toyota,Hilux,2020,Gris,Diésel,4,Automática,2755,Camioneta,37202 km,215.000.000,https://carro.mercadolibre.com.co/MCO-912355159-toyota-hilux-modelo-2020-_JM,CUAL QUIER HORA
25,Volkswagen,Amarok,2020,Gris,Diésel,4,Automática,2.0,Pick-Up,41800 km,132.000.000,https://carro.mercadolibre.com.co/MCO-907362165-volkswagen-amarok-confortline-2020-_JM,cualquiera
26,Renault,Logan,2019,Gasolina,4,Automática,1.6,Sedán,NA,90000 km,41.000.000,https://carro.mercadolibre.com.co/MCO-937738852-renault-logan-2019-16-authentique-life-_JM,Armenia - Quindio
27,BMW,X1,2022,Blanco,Gasolina,5,Automática,20000,Camioneta,20100 km,160.000.000,https://carro.mercadolibre.com.co/MCO-932478942-bmw-x1-modelo-2022-version-20-turbo-garantia-de-fabrica-_JM,Armenia - Quindio
28,Suzuki,VITARA LIVE,2023,Blanco,Gasolina,5,Mecánica,1600,Camioneta,0 km,85.680.000,https://carro.mercadolibre.com.co/MCO-815566367-vitara-gl-mt-4x2-2023-entrega-inmediata-_JM,permanente
29,Volkswagen,Fox,2020,Gasolina,5,Automática,1.6,Hatchback,NA,21000 km,55.000.000,https://carro.mercadolibre.com.co/MCO-927787219-volkswagen-fox-2020-16-xtreme-_JM,Armenia - Quindio
30,Suzuki,Swift,2022,Gris,Híbrido,5,Mecánica,1250,Hatchback,0 km,78.030.000,https://carro.mercadolibre.com.co/MCO-651655923-swift-hibrido-_JM,permanente
31,Toyota,Fortuner,2022,Gris,Diésel,5,Automática,2.8,Camioneta,900 km,285.000.000,https://carro.mercadolibre.com.co/MCO-930858649-toyota-fortuner-28-4x4-_JM,Armenia - Quindio
32,Mazda,3,2017,Gasolina,4,Automática,2.0,Sedán,NA,90000 km,70.000.000,https://carro.mercadolibre.com.co/MCO-930676637-mazda-3-2017-20-grand-touring-_JM,Armenia - Quindio
33,Toyota,Hilux,2021,Diésel,2,Automática,2.8,Pick-Up,NA,3200 km,266.000.000,https://carro.mercadolibre.com.co/MCO-905722010-toyota-hilux-2021-28l-_JM,Armenia - Quindio
34,Volkswagen,Gol,2016,Gasolina,5,Mecánica,1.6,Hatchback,NA,60000 km,38.500.000,https://carro.mercadolibre.com.co/MCO-930694510-volkswagen-gol-2016-16-comfortline-_JM,Armenia - Quindio
35,BMW,Serie 3,2013,Gasolina,4,Automática,1.6,Sedán,NA,98000 km,60.000.000,https://carro.mercadolibre.com.co/MCO-918648965-bmw-serie-3-2013-16-316i-f30-standard-_JM,Armenia - Quindio
36,Renault,Koleos,2012,Gris,Diésel,5,Automática,2.0,Camioneta,172000 km,42.000.000,https://carro.mercadolibre.com.co/MCO-913282469-renault-koleos-_JM,Armenia - Quindio
37,Mazda,3,2019,Blanco,Gasolina,4,Automática,2.0,Sedán,57000 km,76.000.000,https://carro.mercadolibre.com.co/MCO-912460139-mazda-3-20-touring-_JM,Armenia - Quindio
38,Hyundai,Tucson,2016,Blanco,Gasolina,5,Mecánica,2.0,Camioneta,85000 km,75.000.000,https://carro.mercadolibre.com.co/MCO-933109726-hyundai-new-tucson-limited-2000-cc-mecanica-_JM,8.00 AM 6.00 PM
39,Mazda,2,2019,Rojo,Gasolina,4,Mecánica,1500,Hatchback,18000 km,60.500.000,https://carro.mercadolibre.com.co/MCO-921748457-mazda-2-hatchback-2019-_JM,Armenia - Quindio
40,BMW,X2,2018,Blanco,Gasolina,5,Automática,Camioneta,NA,66000 km,145.000.000,https://carro.mercadolibre.com.co/MCO-937660926-bmw-_JM,Armenia - Quindio
41,Toyota,Fortuner,2011,Dorado,Gasolina,5,Automática,2.7,Camioneta,189000 km,95.000.000,https://carro.mercadolibre.com.co/MCO-926554653-toyota-_JM,Armenia - Quindio
42,Mazda,3,2015,Blanco,Gasolina,4,Automática,2.0,Sedán,78000 km,65.950.000,https://carro.mercadolibre.com.co/MCO-932703490-mazda-3-grand-touring-2015-_JM,lunes a viernes de 9 am a 5 pm
43,Toyota,Yaris,2022,Blanco,Gasolina,5,Automática,1500,Sedán,5500 km,83.000.000,https://carro.mercadolibre.com.co/MCO-930482280-toyota-yaris-_JM,todos los dias
44,Mazda,3,2016,Blanco,Gasolina,4,Mecánica,2.0,Sedán,94000 km,620.000.000,https://carro.mercadolibre.com.co/MCO-939708713-mazda-_JM,Armenia - Quindio
45,Volkswagen,Voyage,2022,Blanco,Gasolina,5,Mecánica,1600,Monovolumen,200 km,59.990.000,https://carro.mercadolibre.com.co/MCO-909741004-volkswagen-voyage-comfortline-2022-mt-_JM,Armenia - Quindio
46,Nissan,Sentra,2022,Gris,Gasolina,4,Automática,2000,Sedán,11555 km,102.900.000,https://carro.mercadolibre.com.co/MCO-935675529-nissan-sentra-modelo-2022-id-42101-_JM,Armenia - Quindio
